site_id,site_latitude,site_longitude,max_soil_lead_ppm,school_id,school_name,school_latitude,school_longitude,distance_meters
BD-8091,23.69058,90.42757,654.0,OSM_5459,"Rajabari Postogola Vasha Prodip High School, Dhaka - Barisal Highway, Dhaka",23.6898249,90.4307257,332.12
BD-8106,23.67549,90.44639,192.0,OSM_6964,Bakchar Adarsh ​​High School,23.6735689,90.4483509,292.42
BD-8106,23.67549,90.44639,192.0,OSM_9666,Unnamed School,23.6736755,90.448371,285.32
BD-7206,24.74707,90.41379,23302.0,OSM_273,Holy Family Primary School,24.7428714,90.4145374,472.92
BD-7206,24.74707,90.41379,23302.0,OSM_6190,"Salesian Sisters Nursing College, Nursing school",24.7452295,90.4150375,240.32
BD-7172,24.63447,90.39786,210312.0,OSM_1139,Boiler Kanhor Gov School,24.6388664,90.3978626,488.86
BD-4808,22.81807,89.55534,142763.0,OSM_4975,WZPDCL High School,22.8145444,89.5533318,442.78
BD-8094,23.69437,90.43706,100000.0,OSM_5463,"Madrasatul Falah International Dhaka, High school, Dhaka Mawa Road, Dhaka",23.694671,90.4362061,93.16
BD-4820,23.6311,90.47626,88030.0,OSM_8430,Hariharpara High School Field,23.6345336,90.4748091,409.41
BD-5311,25.14659,89.38719,48076.0,OSM_7207,"Khalshi Chandpur Munshipara Government Primary School, School",25.1498876,89.385782,393.11
BD-7280,22.67994,90.34885,12499.0,OSM_9337,Shaheed Abdur Rab Serniyabad Govt. Secondary School,22.6774735,90.3488865,274.29
BD-4778,23.68115,90.43969,10687.0,OSM_976,Unnamed School,23.6830805,90.4401637,220.01
BD-8113,22.43489,91.73978,3058.0,OSM_5017,Unnamed School,22.4374973,91.7388151,306.41
BD-5021,22.38281,91.76854,2073.0,OSM_5046,"Amirabad Jonokollayn High School, Salimpur, Chattogram",22.3850237,91.7682992,247.39
BD-4803,23.69485,90.34709,906.0,OSM_609,Union Resource Center(URC),23.6980785,90.3445464,442.66
BD-3041,23.70918,90.40506,903.0,OSM_5507,"Zindabahar Govment Primary School, Zindabahar 2nd Ln, Dhaka",23.713432,90.4060877,484.24
BD-8102,23.91771,90.31349,624.0,OSM_6231,Unique Vocational Training Center Ltd.,23.9200585,90.3111876,350.66
BD-5130,23.44988,91.18266,376.0,OSM_1202,IBN Taimiya School,23.4493257,91.1811335,167.47
BD-2026,22.47528,92.14278,337.0,OSM_3660,Karnaphuli Paper Mills High School & College,22.4748486,92.1383562,457.07
BD-5081,23.46056,91.16888,233.0,OSM_175,Shaheen School,23.4624768,91.1722784,406.93
BD-8104,23.91777,90.24703,41.0,OSM_6530,"Gonoshasthaya Vocational And Technical Training Institute, School",23.9184235,90.246201,111.27
BD-7569,25.30856,89.34298,23302.0,OSM_7229,"Champagonj High School, School",25.3080433,89.341912,121.77
BD-5124,24.54945,89.50977,143028.0,OSM_6967,Chandaikona Dakhil Madrasha,24.5528287,89.5065114,499.77
BD-5124,24.54945,89.50977,143028.0,OSM_6983,"Chandakona Model Government Primary School, Primary school",24.5462056,89.5063473,499.99
BD-5124,24.54945,89.50977,143028.0,OSM_6993,"Chandaikona Mohila Madrasha, School",24.5493347,89.505489,433.18
BD-4651,23.99401,90.25868,9381.0,OSM_6257,Professors Model School,23.9928889,90.2569606,214.59
BD-5152,24.55259,89.50462,998.0,OSM_6966,Chandaikona M.L. High School,24.5540661,89.506967,288.6
BD-5152,24.55259,89.50462,998.0,OSM_6967,Chandaikona Dakhil Madrasha,24.5528287,89.5065114,193.13
BD-5152,24.55259,89.50462,998.0,OSM_6985,"Advanced kg school, School",24.5517512,89.5020827,273.05
BD-5152,24.55259,89.50462,998.0,OSM_6991,"N.S Multimedia School, School",24.5507769,89.500662,448.22
BD-5152,24.55259,89.50462,998.0,OSM_6993,"Chandaikona Mohila Madrasha, School",24.5493347,89.505489,372.49
BD-5123,24.55036,89.50626,372.0,OSM_6966,Chandaikona M.L. High School,24.5540661,89.506967,418.26
BD-5123,24.55036,89.50626,372.0,OSM_6967,Chandaikona Dakhil Madrasha,24.5528287,89.5065114,275.68
BD-5123,24.55036,89.50626,372.0,OSM_6983,"Chandakona Model Government Primary School, Primary school",24.5462056,89.5063473,462.03
BD-5123,24.55036,89.50626,372.0,OSM_6985,"Advanced kg school, School",24.5517512,89.5020827,449.93
BD-5123,24.55036,89.50626,372.0,OSM_6993,"Chandaikona Mohila Madrasha, School",24.5493347,89.505489,138.13
BD-4652,23.99119,90.26098,364.0,OSM_6257,Professors Model School,23.9928889,90.2569606,449.9
BD-4652,23.99119,90.26098,364.0,OSM_6260,Panisail Ideal School,23.9906156,90.263897,303.14
BD-5121,23.46002,91.20116,252.0,OSM_1211,Nurpur Primary School,23.4567846,91.2000486,377.2
BD-7289,23.8964,89.15208,23302.0,OSM_4269,Cheuria High School,23.8937434,89.1513219,305.29
BD-7289,23.8964,89.15208,23302.0,OSM_4270,Mohini Mohan Vidyapith,23.8974776,89.1481997,412.28
